year,month,day,lng,lat
109,5,27,121.5648446,25.0419883
109,5,27,121.5635345,25.0833595
109,5,27,121.5635345,25.0833595
109,5,27,121.5635345,25.0833595
109,5,27,121.52079,25.04792529
109,5,27,121.52079,25.04792529
109,5,27,121.5132313,25.04400655
109,5,27,121.5132313,25.04400655
109,5,27,121.4716407,25.12557893
109,5,27,121.4716407,25.12557893
109,5,27,121.4986495,25.02168432
109,5,27,121.4986495,25.02168432
109,5,27,121.5434541,25.0002252
109,5,27,121.5434541,25.0002252
109,5,27,121.5434541,25.0002252
109,5,27,121.55425,25.030548
109,5,27,121.55425,25.030548
109,5,27,121.4692111,25.12852982
109,5,27,121.4692111,25.12852982
109,5,28,121.5558073,25.02401448
109,5,28,121.5558073,25.02401448
109,5,28,121.5569959,25.05262698
109,5,28,121.5569959,25.05262698
109,5,28,121.5519671,25.07721525
109,5,28,121.5500284,25.10006464
109,5,28,121.5519671,25.07721525
109,5,28,121.5500284,25.10006464
109,5,28,121.5309792,25.01807895
109,5,28,121.5309792,25.01807895
109,5,28,121.5309792,25.01807895
109,5,28,121.5309792,25.01807895
109,5,28,121.5435664,25.0283835
109,5,28,121.5435664,25.0283835
109,5,28,121.5214104,25.10144038
109,5,28,121.5214104,25.10144038
109,5,28,121.5240513,25.120615
109,5,28,121.5240513,25.120615
109,5,28,121.616119,25.04382335
109,5,28,121.616119,25.04382335
109,5,28,121.536385,25.0446622
109,5,28,121.536385,25.0446622
109,5,28,121.5321707,25.0150933
109,5,28,121.5321707,25.0150933
109,5,28,121.5648845,25.03283193
109,5,28,121.5648845,25.03283193
109,5,28,121.496596,25.038553
109,5,28,121.496596,25.038553
109,5,28,121.496596,25.038553
109,5,28,121.5362319,25.06674318
109,5,28,121.5362319,25.06674318
109,5,28,121.6041289,25.0538962
109,5,28,121.6041289,25.0538962
109,5,28,121.5206671,25.0577788
109,5,28,121.5206671,25.0577788
109,5,28,121.5206671,25.0577788
109,5,28,121.5066478,25.12886531
109,5,28,121.5066478,25.12886531
109,5,28,121.5099911,25.04721411
109,5,28,121.5099911,25.04721411
109,5,28,121.5099911,25.04721411
109,5,28,121.5099911,25.04721411
109,5,28,121.5698166,25.03902201
109,5,28,121.5698166,25.03902201
109,5,28,121.5555489,25.00226124
109,5,28,121.5555489,25.00226124
109,5,28,121.5777799,25.03964563
109,5,28,121.5777799,25.03964563
109,5,28,121.5327567,25.04068843
109,5,28,121.5327567,25.04068843
109,5,28,121.5300915,25.05101892
109,5,28,121.5300915,25.05101892
109,5,28,121.5716928,25.07577242
109,5,28,121.5716928,25.07577242
109,5,28,121.5250755,25.1078958
109,5,28,121.5250755,25.1078958
109,5,28,121.5088473,25.11270012
109,5,28,121.5088473,25.11270012
109,5,28,121.5130861,25.04078731
109,5,28,121.5130861,25.04078731
109,5,28,121.506907,25.04144346
109,5,28,121.506907,25.04144346
109,5,28,121.5645133,25.04091553
109,5,28,121.5645133,25.04091553
109,5,28,121.5645133,25.04091553
109,5,28,121.5105026,25.05200093
109,5,28,121.5105026,25.05200093
109,5,28,121.5367388,25.0418417
109,5,28,121.5367388,25.0418417
109,5,28,121.4984106,25.12629106
109,5,28,121.4984106,25.12629106
109,5,28,121.5438178,25.0394867
109,5,28,121.5438178,25.0394867
109,5,28,121.5303433,25.06351116
109,5,28,121.5303433,25.06351116
109,5,28,121.5238029,25.04634606
109,5,28,121.5238029,25.04634606
109,5,28,121.5464063,25.04163253
109,5,28,121.5464063,25.04163253
109,5,28,121.5876515,25.06527221
109,5,28,121.5876515,25.06527221
109,5,28,121.5511497,25.05400187
109,5,28,121.5511497,25.05400187
109,5,28,121.5545845,25.00076151
109,5,28,121.5545845,25.00076151
109,5,28,121.5020663,25.14007596
109,5,28,121.5020663,25.14007596
109,5,28,121.499267,25.13921825
109,5,28,121.499267,25.13921825
109,5,28,121.5154698,25.09048067
109,5,28,121.5154698,25.09048067
109,5,28,121.5023921,25.1344276
109,5,28,121.5023921,25.1344276
109,5,28,121.5764451,25.0689879
109,5,28,121.5764451,25.0689879
109,5,28,121.568295,25.0318884
109,5,28,121.568295,25.0318884
109,5,28,121.5085018,25.06050475
109,5,28,121.5223748,25.09445767
109,5,28,121.5085018,25.06050475
109,5,28,121.5223748,25.09445767
109,5,28,121.5729876,25.08365611
109,5,28,121.5729876,25.08365611
109,5,28,121.5218333,25.03962945
109,5,28,121.5218333,25.03962945
109,5,28,121.5328356,25.04428621
109,5,28,121.5328356,25.04428621
109,5,28,121.5552847,25.03841125
109,5,28,121.5552847,25.03841125
109,5,28,121.526735,25.05806427
109,5,28,121.526735,25.05806427
109,5,28,121.526735,25.05806427
109,5,28,121.526735,25.05806427
109,5,28,121.6109528,25.0743814
109,5,28,121.6109528,25.0743814
109,5,28,121.5307452,25.11086133
109,5,28,121.5307452,25.11086133
109,5,28,121.5082021,25.0506052
109,5,28,121.5082021,25.0506052
109,5,29,121.5668365,25.03190885
109,5,29,121.5824683,25.07065283
109,5,29,121.5668365,25.03190885
109,5,29,121.5824683,25.07065283
109,5,29,121.5610051,25.02392039
109,5,29,121.5610051,25.02392039
109,5,29,121.5610051,25.02392039
109,5,29,121.5246042,25.10090434
109,5,29,121.5246042,25.10090434
109,5,29,121.5172917,25.03920666
109,5,29,121.5172917,25.03920666
109,5,29,121.5712866,25.08263838
109,5,29,121.5712866,25.08263838
109,5,29,121.4969199,25.13560256
109,5,29,121.4969199,25.13560256
109,5,29,121.4969199,25.13560256
109,5,29,121.5103332,25.1185209
109,5,29,121.5103332,25.1185209
109,5,29,121.5825072,25.05157938
109,5,29,121.5825072,25.05157938
109,5,29,121.5448866,24.99974472
109,5,29,121.5448866,24.99974472
109,5,29,121.5183722,25.03118703
109,5,29,121.5183722,25.03118703
109,5,29,121.5183722,25.03118703
109,5,29,121.5899479,25.07132196
109,5,29,121.5899479,25.07132196
109,5,29,121.5899479,25.07132196
109,5,29,121.544168,24.99260471
109,5,29,121.544168,24.99260471
109,5,29,121.5443756,25.06950591
109,5,29,121.5601824,25.0164307
109,5,29,121.5443756,25.06950591
109,5,29,121.5601824,25.0164307
109,5,29,121.5443756,25.06950591
109,5,29,121.5601824,25.0164307
109,5,29,121.4860574,25.1218561
109,5,29,121.4860574,25.1218561
109,5,29,121.5143903,25.09488678
109,5,29,121.5143903,25.09488678
109,5,29,121.5343479,25.04484455
109,5,29,121.5343479,25.04484455
109,5,29,121.5343479,25.04484455
109,5,29,121.5561458,25.02012775
109,5,29,121.5561458,25.02012775
109,5,29,121.5170858,25.06423322
109,5,29,121.5170858,25.06423322
109,5,29,121.5148019,25.06630249
109,5,29,121.5148019,25.06630249
109,5,29,121.5148019,25.06630249
109,5,29,121.5082021,25.0506052
109,5,29,121.4952231,25.03132208
109,5,29,121.5082021,25.0506052
109,5,29,121.4952231,25.03132208
109,5,29,121.5487225,25.0245244
109,5,29,121.5487225,25.0245244
109,5,29,121.6072485,25.0555789
109,5,29,121.6072485,25.0555789
109,5,29,121.567791,25.04316215
109,5,29,121.567791,25.04316215
109,5,29,121.5558245,24.9883099
109,5,29,121.5815877,25.04641231
109,5,29,121.5558245,24.9883099
109,5,29,121.5815877,25.04641231
109,5,29,121.5389847,25.00222356
109,5,29,121.5389847,25.00222356
109,5,29,121.5674459,24.98350911
109,5,29,121.5674459,24.98350911
109,5,29,121.5786392,25.06638011
109,5,29,121.5786392,25.06638011
109,5,29,121.5600147,24.98153344
109,5,29,121.5600147,24.98153344
109,5,29,121.5322278,25.04549483
109,5,29,121.5322278,25.04549483
109,5,29,121.5144663,25.11101694
109,5,29,121.5144663,25.11101694
109,5,29,121.5234645,25.0842105
109,5,29,121.5234645,25.0842105
109,5,29,121.6122144,25.06881635
109,5,29,121.6122144,25.06881635
109,5,29,121.5250338,25.0502979
109,5,29,121.5250338,25.0502979
109,5,29,121.5684038,25.0305526
109,5,29,121.5684038,25.0305526
109,5,29,121.4660274,25.12982931
109,5,29,121.4660274,25.12982931
109,5,29,121.4660274,25.12982931
109,5,29,121.5027044,25.121244
109,5,29,121.5027044,25.121244
109,5,29,121.5254569,25.02307213
109,5,29,121.5254569,25.02307213
109,5,29,121.5254569,25.02307213
109,5,29,121.5257234,25.06712171
109,5,29,121.5257234,25.06712171
109,5,29,121.5378632,25.04837626
109,5,29,121.5378632,25.04837626
109,5,29,121.5378632,25.04837626
109,5,29,121.5735694,25.03704587
109,5,29,121.5735694,25.03704587
109,5,29,121.4714751,25.12293516
109,5,29,121.4714751,25.12293516
109,5,29,121.5750694,25.06279216
109,5,29,121.5750694,25.06279216
109,5,29,121.5516437,25.03499347
109,5,29,121.5516437,25.03499347
109,5,29,121.5151429,25.05843828
109,5,29,121.5151429,25.05843828
109,5,29,121.5373579,25.0111552
109,5,29,121.5373579,25.0111552
109,5,29,121.5366155,25.05471182
109,5,29,121.5366155,25.05471182
109,5,29,121.5397915,25.01320399
109,5,29,121.5397915,25.01320399
109,5,29,121.5661065,25.040093
109,5,29,121.5661065,25.040093
109,5,29,121.5156107,25.02837907
109,5,29,121.5156107,25.02837907
109,5,29,121.5156107,25.02837907
109,5,29,121.5156107,25.02837907
109,5,29,121.5156107,25.02837907
109,5,29,121.5494923,25.03790565
109,5,29,121.5494923,25.03790565
109,5,29,121.5685179,25.04102181
109,5,29,121.5685179,25.04102181
109,5,29,121.5211247,25.06034781
109,5,29,121.5211247,25.06034781
109,5,29,121.5133351,25.11902465
109,5,29,121.5133351,25.11902465
109,5,29,121.5637152,25.04007684
109,5,29,121.5637152,25.04007684
109,5,29,121.5889998,25.0123035
109,5,29,121.5889998,25.0123035
109,5,29,121.5505009,25.0614517
109,5,29,121.5016134,25.08992463
109,5,29,121.5505009,25.0614517
109,5,29,121.5016134,25.08992463
109,5,29,121.5455048,24.9999633
109,5,29,121.5455048,24.9999633
109,5,29,121.5455048,24.9999633
109,5,29,121.5458538,24.9952323
109,5,29,121.5458538,24.9952323
109,5,29,121.5653338,25.0289273
109,5,29,121.5653338,25.0289273
109,5,29,121.5203289,25.11542801
109,5,29,121.5203289,25.11542801
109,5,29,121.5090739,25.11246861
109,5,29,121.5090739,25.11246861
109,5,29,121.5578327,25.0450283
109,5,29,121.5578327,25.0450283
109,5,29,121.5578327,25.0450283
109,5,29,121.5886033,25.05884762
109,5,29,121.5886033,25.05884762
109,5,29,121.5886033,25.05884762
109,5,29,121.5886033,25.05884762
109,5,29,121.5886033,25.05884762
109,5,29,121.5044883,25.13677919
109,5,29,121.5044883,25.13677919
109,5,29,121.5684851,25.03902364
109,5,29,121.5684851,25.03902364
109,5,29,121.5257446,25.08561178
109,5,29,121.5257446,25.08561178
109,5,30,121.5062457,25.03503673
109,5,30,121.5062457,25.03503673
109,5,30,121.5062457,25.03503673
109,5,30,121.4939828,25.03010736
109,5,30,121.4939828,25.03010736
109,5,30,121.5254783,25.09305433
109,5,30,121.5254783,25.09305433
109,5,30,121.5555493,25.0369607
109,5,30,121.5555493,25.0369607
109,5,30,121.5030458,25.0332988
109,5,30,121.5030458,25.0332988
109,5,30,121.5543312,25.04206157
109,5,30,121.5543312,25.04206157
109,5,30,121.523551,25.1459971
109,5,30,121.5483919,25.0414416
109,5,30,121.5483919,25.0414416
109,5,30,121.523551,25.1459971
109,5,30,121.5777169,25.05018558
109,5,30,121.5777169,25.05018558
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.5649265,25.02914786
109,5,30,121.509748,25.06208933
109,5,30,121.509748,25.06208933
109,5,30,121.509748,25.06208933
109,5,30,121.5312476,25.09583697
109,5,30,121.5312476,25.09583697
109,5,30,121.5312476,25.09583697
109,5,30,121.5279622,25.03681546
109,5,30,121.5279622,25.03681546
109,5,30,121.5174323,25.03933767
109,5,30,121.5174323,25.03933767
109,5,30,121.5909003,25.06905469
109,5,30,121.5909003,25.06905469
109,5,30,121.5503196,25.0819301
109,5,30,121.5503196,25.0819301
109,5,30,121.5499054,25.0331049
109,5,30,121.5499054,25.0331049
109,5,30,121.5244404,25.10625841
109,5,30,121.5244404,25.10625841
109,5,30,121.558543,25.07998563
109,5,30,121.5801381,25.03994517
109,5,30,121.558543,25.07998563
109,5,30,121.5801381,25.03994517
109,5,30,121.5720882,24.97509624
109,5,30,121.5720882,24.97509624
109,5,30,121.5335252,25.07047252
109,5,30,121.5335252,25.07047252
109,5,30,121.5335252,25.07047252
109,5,30,121.5335252,25.07047252
109,5,30,121.5335252,25.07047252
109,5,30,121.5335252,25.07047252
109,5,30,121.4947435,25.02511605
109,5,30,121.4947435,25.02511605
109,5,30,121.6041036,25.07351728
109,5,30,121.6041036,25.07351728
109,5,30,121.6041036,25.07351728
109,5,30,121.5018901,25.13344517
109,5,30,121.5018901,25.13344517
109,5,30,121.5370468,25.01090881
109,5,30,121.5370468,25.01090881
109,5,30,121.5509035,25.02437732
109,5,30,121.5509035,25.02437732
109,5,30,121.526979,25.03267617
109,5,30,121.526979,25.03267617
109,5,30,121.526979,25.03267617
109,5,30,121.4905987,25.14203144
109,5,30,121.4905987,25.14203144
109,5,30,121.5210645,25.06082044
109,5,30,121.5210645,25.06082044
109,5,30,121.5264218,25.0954842
109,5,30,121.5264218,25.0954842
109,5,30,121.5264218,25.0954842
109,5,30,121.5264218,25.0954842
109,5,30,121.5264218,25.0954842
109,5,30,121.5777082,25.04078388
109,5,30,121.5777082,25.04078388
109,5,30,121.5278819,25.11524199
109,5,30,121.5431312,25.05771679
109,5,30,121.5278819,25.11524199
109,5,30,121.5431312,25.05771679
109,5,30,121.5432791,25.02100992
109,5,30,121.5432791,25.02100992
109,5,30,121.5386198,25.169404
109,5,30,121.5386198,25.169404
109,5,30,121.524034,25.09207993
109,5,30,121.524034,25.09207993
109,5,30,121.5832858,25.00012961
109,5,30,121.5832858,25.00012961
109,5,30,121.6098887,25.06347495
109,5,30,121.6098887,25.06347495
109,5,30,121.5253844,25.0591206
109,5,30,121.5253844,25.0591206
109,5,30,121.5253844,25.0591206
109,5,30,121.5369916,25.01127335
109,5,30,121.5369916,25.01127335
109,5,30,121.5473115,25.02818392
109,5,30,121.5473115,25.02818392
109,5,30,121.5170791,25.11166673
109,5,30,121.5170791,25.11166673
109,5,30,121.5776393,25.04814604
109,5,30,121.5776393,25.04814604
109,5,30,121.5776393,25.04814604
109,5,30,121.587851,25.06899247
109,5,30,121.587851,25.06899247
109,5,30,121.612125,25.05532224
109,5,30,121.612125,25.05532224
109,5,30,121.5371279,25.05550486
109,5,30,121.5371279,25.05550486
109,5,30,121.568486,25.0773404
109,5,30,121.568486,25.0773404
109,5,30,121.568486,25.0773404
109,5,30,121.568486,25.0773404
109,5,30,121.5598399,25.01904967
109,5,30,121.5598399,25.01904967
109,5,30,121.5598399,25.01904967
109,5,30,121.5524977,25.01878782
109,5,30,121.5524977,25.01878782
109,5,30,121.5524977,25.01878782
109,5,30,121.5799418,25.04949877
109,5,30,121.5799418,25.04949877
109,5,30,121.5556037,25.0562387
109,5,30,121.5556037,25.0562387
109,5,30,121.5556037,25.0562387
109,5,30,121.5556037,25.0562387
109,5,30,121.5167248,25.05801276
109,5,30,121.5167248,25.05801276
109,5,30,121.5439765,25.16208216
109,5,30,121.5439765,25.16208216
109,5,30,121.5255669,25.10256422
109,5,30,121.5255669,25.10256422
109,5,30,121.5005036,25.03290296
109,5,30,121.5005036,25.03290296
109,5,31,121.5524923,25.0148261
109,5,31,121.5524923,25.0148261
109,5,31,121.5524923,25.0148261
109,5,31,121.5524923,25.0148261
109,5,31,121.5754886,25.0771226
109,5,31,121.5754886,25.0771226
109,5,31,121.5941206,25.05016766
109,5,31,121.5941206,25.05016766
109,5,31,121.5501445,25.18081135
109,5,31,121.5501445,25.18081135
109,5,31,121.5041831,25.019954
109,5,31,121.5041831,25.019954
109,5,31,121.5041831,25.019954
109,5,31,121.5041831,25.019954
109,5,31,121.556286,25.18076119
109,5,31,121.556286,25.18076119
109,5,31,121.6161294,25.04380152
109,5,31,121.6161294,25.04380152
109,5,31,121.5496765,25.0471447
